"('Darkness', 0.169)","('Night', 0.169)","('Parts of a day', 0.169)","('Time in astronomy', 0.169)","('Day', 0.046)","('Orders of magnitude (time)', 0.039)","('Units of time', 0.033)","('Communication', 0.001)","('News', 0.001)","('Sociology of knowledge', 0.001)"
"('1457 establishments in Asia', 0.681)","('15th-century establishments in Japan', 0.681)","('Kantō region', 0.681)","('Populated places established in the 1450s', 0.681)","('Tokyo', 0.681)","('Populated coastal places in Japan', 0.654)","('Port settlements in Japan', 0.654)","('Capitals in Asia', 0.474)","('Watches', 0.0)","('Bodies of water', 0.0)"
"('1956 establishments in Tunisia', 0.98)","('Berber-speaking countries and territories', 0.98)","('Maghrebi countries', 0.98)","('Tunisia', 0.98)","('North African countries', 0.904)","('Member states of the Arab League', 0.834)","('Saharan countries', 0.801)","('Westminster system', 0.785)","('Member states of the African Union', 0.739)","('Parliamentary procedure', 0.695)"
"('2002 establishments in Delhi', 1.0)","('5 ft 6 in gauge railways in India', 1.0)","('Delhi Metro', 1.0)","('Railway lines opened in 2002', 1.0)","('Siemens Mobility projects', 1.0)","('Standard gauge railways in India', 1.0)","('Transport in Delhi', 1.0)","('Underground rapid transit in India', 1.0)","('Culture of Maharashtra', 1.0)","('Indian state foundation days', 1.0)"
"('Cities and towns in Dewas district', 0.98)","('Cities in Malwa', 0.98)","('Dewas', 0.98)","('Municipal corporations in Madhya Pradesh', 0.98)","('Cities in Madhya Pradesh', 0.96)","('1982 births', 0.96)","('Asian Games medalists in table tennis', 0.96)","('Commonwealth Games bronze medallists for India', 0.96)","('Commonwealth Games medallists in table tennis', 0.96)","('Commonwealth Games silver medallists for India', 0.96)"
"('Cities and towns in Kargil district', 0.98)","('Hill stations in Ladakh', 0.98)","('Kargil', 0.98)","('1956 establishments in Tunisia', 0.98)","('Berber-speaking countries and territories', 0.98)","('Maghrebi countries', 0.98)","('Tunisia', 0.98)","('Cities and towns in Ladakh', 0.96)","('Geography of Ladakh', 0.96)","('1982 births', 0.96)"
"('Pride', 1.0)","('Youth', 0.96)","('Social constructionism', 0.941)","('Emotions', 0.922)","('Innovators', 0.922)","('Innovation economics', 0.904)","('Product management', 0.904)","('Science and technology studies', 0.904)","('Design', 0.868)","('Psychological attitude', 0.851)"
"('Indian sportspeople stubs', 1.882)","('Book of Exodus', 1.0)","('Book of Numbers', 1.0)","('Breads', 1.0)","('Fungi and humans', 1.0)","('Mythological food and drink', 1.0)","('Mythological medicines and drugs', 1.0)","('Indian feudalism', 1.0)","('Koli people', 1.0)","('Koli subcastes', 1.0)"
"('Social groups of Andhra Pradesh', 1.0)","('Social groups of Karnataka', 1.0)","('Social groups of Tamil Nadu', 1.0)","('Social groups of Telangana', 1.0)","('Telugu society', 1.0)","('Evolutionary biology', 1.0)","('Molecular evolution', 1.0)","('Mutation', 1.0)","('Radiation health effects', 1.0)","('Agricultural castes', 0.98)"
"('Bridges completed in 1890', 1.0)","('Buildings and structures in Washtenaw County, Michigan', 1.0)","('Huron River (Michigan)', 1.0)","('National Register of Historic Places in Washtenaw County, Michigan', 1.0)","('Pratt truss bridges in the United States', 1.0)","('Road bridges in Michigan', 1.0)","('Road bridges on the National Register of Historic Places in Michigan', 1.0)","('Transportation in Washtenaw County, Michigan', 1.0)","('Wrought iron bridges in the United States', 1.0)","('Agricultural establishments', 1.0)"
