"('Cities and towns in Kargil district', 0.483)","('Hill stations in Ladakh', 0.483)","('Kargil', 0.483)","('Cities and towns in Ladakh', 0.437)","('Geography of Ladakh', 0.428)","('Victory', 0.286)","('Ladakh', 0.243)","('Indian union territory capitals', 0.0)","('Debating', 0.0)","('1892 in Australia', 0.0)"
"('1980s Indian television series', 1.0)","('1989 Indian television series debuts', 1.0)","('1990 Indian television series endings', 1.0)","('DD National original programming', 1.0)","('Indian comedy television series', 1.0)","('Indian television sitcoms', 1.0)","('Indian television show stubs', 0.904)","('Children of Poseidon', 0.464)","('Pegasus', 0.464)","('Medusa', 0.379)"
"('Erotica', 1.0)","('Genres', 0.98)","('British businesspeople of Indian descent', 0.568)","('British emigrants to India', 0.568)","('Businesspeople from London', 0.568)","('Indian Premier League franchise owners', 0.253)","('Hindu given names', 0.039)","('Indian masculine given names', 0.003)","('Living people', 0.0)","('Given names', 0.0)"
"('Nepalese masculine given names', 0.628)","('Cities and towns in Kargil district', 0.483)","('Hill stations in Ladakh', 0.483)","('Kargil', 0.483)","('Cities and towns in Ladakh', 0.437)","('Geography of Ladakh', 0.428)","('Demand', 0.264)","('Consumer theory', 0.253)","('Ladakh', 0.243)","('Military ranks', 0.074)"
"('Chief Ministers of Mizoram', 0.98)","('Leaders of the Opposition in Mizoram', 0.98)","('Mizo National Front politicians', 0.98)","('Mizo people', 0.98)","('Mizoram MLAs 1993–1998', 0.98)","('Mizoram MLAs 1998–2003', 0.98)","('Mizoram MLAs 2003–2008', 0.98)","('Mizoram MLAs 2018–2023', 0.98)","('People from Champhai', 0.98)","('People from Champhai district', 0.98)"
"('Cities and towns in Kargil district', 0.483)","('Hill stations in Ladakh', 0.483)","('Kargil', 0.483)","('Cities and towns in Ladakh', 0.437)","('Geography of Ladakh', 0.428)","('Ladakh', 0.243)","('Physical phenomena', 0.004)","('SI base quantities', 0.004)","('Scalar physical quantities', 0.004)","('Spacetime', 0.004)"
"('Jovian deities', 1.0)","('Knowledge gods', 0.96)","('Navagraha', 0.96)","('Rigvedic deities', 0.922)","('Vehicle operation', 0.801)","('Water transport', 0.785)","('Naval warfare', 0.769)","('Road transport', 0.754)","('Hindu gods', 0.455)","('Hand', 0.387)"
"('Female models from Hyderabad, India', 0.98)","('Indian beauty pageant winners', 0.98)","('Actresses from Hyderabad, India', 0.96)","('Bigg Boss (Hindi TV series) contestants', 0.941)","('Actresses in Hindi cinema', 0.874)","('Pornography', 0.817)","('Sexuality', 0.817)","('21st-century Indian actresses', 0.806)","('1984 births', 0.769)","('Indian film actresses', 0.758)"
"('Indian consultants', 0.96)","('Jadavpur University alumni', 0.96)","('Businesspeople from Kolkata', 0.941)","('Male actors from Kolkata', 0.941)","('Indian columnists', 0.834)","('Indian atheists', 0.769)","('La Martiniere Calcutta alumni', 0.695)","('1963 births', 0.681)","('Punjabi people', 0.403)","('Westminster system', 0.122)"
"('Konkani-language surnames', 0.904)","('Karnataka society', 0.785)","('Force India', 0.785)","('Former billionaires', 0.785)","('Formula One team owners', 0.785)","('Indian motorsport people', 0.785)","('Racehorse owners and breeders', 0.785)","('Businesspeople from Bangalore', 0.769)","('People from Dakshina Kannada district', 0.769)","('United Breweries Group', 0.769)"
"('Constables', 0.941)","('Law enforcement occupations in the United Kingdom', 0.941)","('Law enforcement titles', 0.941)","('Police ranks of Sri Lanka', 0.941)","('Sheriffs', 0.941)","('Ludhiana', 0.904)","('Law enforcement occupations', 0.886)","('Cities and towns in Ludhiana district', 0.886)","('Populated places established in the 1480s', 0.886)","('Police ranks in the United Kingdom', 0.591)"
"('Westminster system', 0.122)","('Parliamentary procedure', 0.018)","('Legislatures', 0.0)","('Debating', 0.0)","('1892 in Australia', 0.0)","('1893 in Australia', 0.0)","('Bulletin Debate', 0.0)","('History of Australia (1851–1900)', 0.0)","('1973 births', 0.0)","('20th-century Indian journalists', 0.0)"
"('Sephardi Jewish culture in Europe', 1.0)","('Sephardic surnames', 1.0)","('Jewish surnames', 0.98)","('Spanish-language surnames', 0.98)","('Portuguese-language surnames', 0.96)","('Courts', 0.024)","('Surnames', 0.0)"
"('Human stampedes', 1.0)","('Malwa', 0.96)","('Ujjain', 0.96)","('Cities in Malwa', 0.851)","('Hazards', 0.739)","('Religious buildings and structures', 0.724)","('Sacral architecture', 0.724)","('Temples', 0.724)","('Types of monuments and memorials', 0.724)","('Building types', 0.709)"
"('Endocrine disruptors', 0.513)","('Externally peer reviewed articles', 0.513)","('IARC Group 2B carcinogens', 0.513)","('Lead', 0.513)","('Post-transition metals', 0.513)","('Superconductors', 0.513)","('Wikipedia articles published in WikiJournal of Science', 0.513)","('Wikipedia articles published in peer-reviewed literature', 0.513)","('Wikipedia articles published in peer-reviewed literature (W2J)', 0.513)","('Cities and towns in Kargil district', 0.483)"
"('Monuments and memorials', 1.736)","('Kargil War', 1.478)","('1999 in India', 0.801)","('1999 in Pakistan', 0.801)","('1999 in international relations', 0.801)","('Conflicts in 1999', 0.801)","('History of mass media in Pakistan', 0.801)","('Indo-Pakistani wars', 0.801)","('July 1999 events in Asia', 0.801)","('June 1999 events in Asia', 0.801)"
