"('United Breweries Group', 1.448)","('Beer vessels and serving', 0.98)","('Oil storage', 0.98)","('Storage vessels', 0.98)","('Wine packaging and storage', 0.98)","('Regions of Texas', 0.98)","('2003 establishments in Karnataka', 0.941)","('Airlines disestablished in 2013', 0.941)","('Airlines established in 2003', 0.941)","('Companies formerly listed on the Bombay Stock Exchange', 0.941)"
"('Adages', 0.98)","('Paremiology', 0.98)","('Aerospace', 0.724)","('Hill stations in Ladakh', 0.695)","('Kargil', 0.695)","('Cities and towns in Kargil district', 0.681)","('Beaches of Mumbai', 0.681)","('Mizoram', 0.616)","(""1910s coups d'état and coup attempts"", 0.603)","('1910s in Saint Petersburg', 0.603)"
"('Cities and towns in Kolasib district', 1.96)","('Kolasib', 1.96)","('Mizoram geography stubs', 1.96)","('Bacterium-related cutaneous conditions', 1.0)","('Mountain ranges of Trinidad and Tobago', 1.0)","('Films directed by J. Sasikumar', 1.0)","('1864 establishments in India', 1.0)","('Cities and towns in East Khasi Hills district', 1.0)","('East Khasi Hills district', 1.0)","('Geography of Meghalaya', 1.0)"
"('Bunt community surnames', 0.769)","('Karnataka society', 0.754)","('Concepts in film theory', 0.681)","('Memory processes', 0.681)","('Narrative techniques', 0.58)","('Villages in Graubünden', 0.58)","('Former municipalities of Graubünden', 0.535)","('People from Angul district', 0.483)","('People from Debagarh district', 0.483)","('People from Odisha', 0.483)"
"('Pumps', 0.98)","('Beer vessels and serving', 0.98)","('Oil storage', 0.98)","('Storage vessels', 0.98)","('Wine packaging and storage', 0.98)","('Regions of Texas', 0.98)","('Food storage containers', 0.941)","('Gardening aids', 0.941)","('Liquid containers', 0.941)","('Shipping containers', 0.904)"
"('Concepts in film theory', 0.681)","('Memory processes', 0.681)","('Narrative techniques', 0.58)","('People from Angul district', 0.483)","('People from Debagarh district', 0.483)","('People from Odisha', 0.483)","('Steel Ministers of India', 0.474)","('1985 debut albums', 0.455)","('Albums produced by DJ Yella', 0.455)","('Albums produced by Dr. Dre', 0.455)"
"('Achaemenid Empire', 0.98)","('Iranian inventions', 0.98)","('Satraps', 0.98)","('Positions of subnational authority', 0.709)","('People from Angul district', 0.483)","('People from Debagarh district', 0.483)","('People from Odisha', 0.483)","('Steel Ministers of India', 0.474)","('1985 debut albums', 0.455)","('Albums produced by DJ Yella', 0.455)"
"('Drainage', 1.448)","('Census towns in Andhra Pradesh', 0.98)","('Towns in Krishna district', 0.98)","('AAAAA-rated tourist attractions', 0.904)","('Canyons and gorges of China', 0.904)","('Landforms of Chongqing', 0.904)","('Landforms of Hubei', 0.904)","('Tourist attractions in Chongqing', 0.904)","('Tourist attractions in Hubei', 0.904)","('Yangtze River', 0.904)"
"('Drainage', 1.448)","('Planets of the Solar System', 1.282)","('Terrestrial planets', 1.282)","('Venus', 0.98)","('AAAAA-rated tourist attractions', 0.904)","('Canyons and gorges of China', 0.904)","('Landforms of Chongqing', 0.904)","('Landforms of Hubei', 0.904)","('Tourist attractions in Chongqing', 0.904)","('Tourist attractions in Hubei', 0.904)"
"('Drainage', 1.448)","('AAAAA-rated tourist attractions', 0.904)","('Canyons and gorges of China', 0.904)","('Landforms of Chongqing', 0.904)","('Landforms of Hubei', 0.904)","('Tourist attractions in Chongqing', 0.904)","('Tourist attractions in Hubei', 0.904)","('Yangtze River', 0.904)","('Bells (instrument)', 0.904)","('European percussion instruments', 0.904)"
"('Drainage', 1.448)","('Alumni of the University of Leeds', 0.96)","('Business and Professionals Alliance for Hong Kong politicians', 0.96)","('Economic Synergy politicians', 0.96)","('HK LegCo Members 2004–2008', 0.96)","('HK LegCo Members 2008–2012', 0.96)","('HK LegCo Members 2012–2016', 0.96)","('HK LegCo Members 2016–2020', 0.96)","('Hong Kong businesspeople', 0.96)","('Hong Kong industrialists', 0.96)"
