"('Interrogations', 0.868)","('Pornography', 0.868)","('Sexuality', 0.868)","('Ethology', 0.724)","('Moral psychology', 0.628)","('1864 establishments in British India', 0.292)","('Mumbai Police', 0.292)","('Organisations based in Mumbai', 0.292)","('Maharashtra Police', 0.286)","('Organizational theory', 0.199)"
"('Cities and towns in Kargil district', 0.603)","('Hill stations in Ladakh', 0.603)","('Kargil', 0.603)","('Animal dyes', 0.603)","('Kerriidae', 0.603)","('Resins', 0.603)","('Insect products', 0.591)","('Cities and towns in Ladakh', 0.545)","('Geography of Ladakh', 0.545)","('Ladakh', 0.102)"
"('Environmental soil science', 0.739)","('Landslides', 0.739)","('1727 establishments in India', 0.641)","('Cities and towns in Jaipur district', 0.641)","('Jaipur', 0.641)","('Populated places established in 1727', 0.641)","('World Heritage Sites in India', 0.428)","('1971 establishments in India', 0.364)","('States and territories established in 1971', 0.298)","('Himachal Pradesh', 0.233)"
"('Shooters at the 2018 Summer Youth Olympics', 1.772)","('Youth Olympic gold medalists for India', 1.772)","('Olympic shooters of India', 1.736)","('Shooters at the 2018 Asian Games', 1.736)","('Shooters at the 2020 Summer Olympics', 1.736)","('Archers at the 2016 Summer Olympics', 1.668)","('Archers at the 2018 Asian Games', 1.668)","('Archers at the 2014 Asian Games', 1.634)","('2002 births', 1.602)","('World Archery Championships medalists', 1.602)"
"('Actresses from Hyderabad, India', 0.941)","('Female models from Hyderabad, India', 0.941)","('Indian beauty pageant winners', 0.941)","('Sex scandals', 0.941)","('Bigg Boss (Hindi TV series) contestants', 0.922)","('Fear Factor: Khatron Ke Khiladi participants', 0.922)","('Female models from Mumbai', 0.886)","('Pornography', 0.868)","('Sexuality', 0.868)","('Actresses in Hindi television', 0.817)"
"('1993 establishments in Australia', 0.886)","('Biweekly magazines published in Australia', 0.886)","('Business in Australia', 0.886)","('Business magazines published in Australia', 0.886)","('Economy of Western Australia', 0.886)","('Magazines established in 1993', 0.886)","('Magazines published in Perth, Western Australia', 0.886)","('Interrogations', 0.868)","('Ethology', 0.724)","('Moral psychology', 0.628)"
"('Kargil War', 1.478)","('Cities and towns in Udhampur district', 0.96)","('Udhampur', 0.96)","('Himalayas', 0.941)","('1999 in India', 0.868)","('1999 in Pakistan', 0.868)","('1999 in international relations', 0.868)","('Conflicts in 1999', 0.868)","('History of mass media in Pakistan', 0.868)","('Indo-Pakistani wars', 0.868)"
"('Canoeing and kayaking equipment', 0.941)","('Helmets', 0.941)","('Hurling equipment', 0.941)","('Headgear', 0.681)","('Cities and towns in Patna district', 0.591)","('Patna', 0.591)","('5th-century BC establishments', 0.58)","('Populated places established in the 5th century BC', 0.58)","('Cities and towns in Bihar', 0.411)","('1912 establishments in India', 0.18)"
"('Hindu goddesses', 1.206)","('Fencing', 0.98)","('Mixed-sex sports', 0.98)","('Swordsmanship', 0.98)","('Hindu temples in Maharashtra', 0.904)","('Shakti temples', 0.904)","('Forms of Parvati', 0.868)","('Combat sports', 0.817)","('Dream', 0.769)","('Symbols', 0.754)"
"('Badminton', 0.886)","('Olympic sports', 0.886)","('Sports originating in South Asia', 0.886)","('Khatri clans', 0.739)","('Racquet sports', 0.695)","('Paschim Maharashtra', 0.681)","('Pune', 0.681)","('Cities and towns in Pune district', 0.668)","('Stars', 0.668)","('Stellar astronomy', 0.668)"
